participant_id,mode,timestamp,attention_score,action,low_streak
P001,baseline,30.56,0.91,Baseline,0
P001,baseline,30.72,0.92,Baseline,0
P001,baseline,30.88,0.92,Baseline,0
P001,baseline,31.04,0.84,Baseline,0
P001,baseline,31.21,0.92,Baseline,0
P001,baseline,31.38,0.91,Baseline,0
P001,baseline,31.56,0.87,Baseline,0
P001,baseline,31.72,0.93,Baseline,0
P001,baseline,31.88,0.91,Baseline,0
P001,baseline,32.03,0.78,Baseline,0
P001,baseline,32.18,0.67,Baseline,0
P001,baseline,32.35,0.88,Baseline,0
P001,baseline,32.52,0.83,Baseline,0
P001,baseline,32.69,0.89,Baseline,0
P001,baseline,32.86,0.88,Baseline,0
P001,baseline,33.04,0.82,Baseline,0
P001,baseline,33.2,0.81,Baseline,0
P001,baseline,33.35,0.89,Baseline,0
P001,baseline,33.51,0.85,Baseline,0
P001,baseline,34.01,0.84,Baseline,0
P001,baseline,34.16,0.76,Baseline,0
P001,baseline,34.32,0.87,Baseline,0
P001,baseline,34.49,0.82,Baseline,0
P001,baseline,34.65,0.73,Baseline,0
P001,baseline,34.81,0.79,Baseline,0
P001,baseline,34.97,0.7,Baseline,0
P001,baseline,35.14,0.75,Baseline,0
P001,baseline,35.3,0.62,Baseline,0
P001,baseline,35.46,0.89,Baseline,0
P001,baseline,35.62,0.75,Baseline,0
P001,baseline,35.78,0.67,Baseline,0
P001,baseline,35.93,0.81,Baseline,0
P001,baseline,36.09,0.85,Baseline,0
P001,baseline,36.26,0.81,Baseline,0
P001,baseline,36.42,0.76,Baseline,0
P001,baseline,36.59,0.75,Baseline,0
P001,baseline,36.74,0.76,Baseline,0
P001,baseline,36.89,0.82,Baseline,0
P001,baseline,37.05,0.71,Baseline,0
P001,baseline,37.22,0.8,Baseline,0
P001,baseline,37.38,0.72,Baseline,0
P001,baseline,37.54,0.72,Baseline,0
P001,baseline,37.7,0.69,Baseline,0
P001,baseline,37.86,0.69,Baseline,0
P001,baseline,38.02,0.74,Baseline,0
P001,baseline,38.19,0.82,Baseline,0
P001,baseline,38.34,0.75,Baseline,0
P001,baseline,38.5,0.78,Baseline,0
P001,baseline,38.66,0.84,Baseline,0
P001,baseline,38.82,0.81,Baseline,0
P001,baseline,38.98,0.81,Baseline,0
P001,baseline,39.15,0.73,Baseline,0
P001,baseline,39.3,0.84,Baseline,0
P001,baseline,39.46,0.81,Baseline,0
P001,baseline,39.62,0.8,Baseline,0
P001,baseline,39.77,0.68,Baseline,0
P001,baseline,39.92,0.8,Baseline,0
P001,baseline,40.08,0.81,Baseline,0
P001,baseline,40.24,0.7,Baseline,0
P001,baseline,40.4,0.8,Baseline,0
P001,baseline,40.55,0.82,Baseline,0
P001,baseline,40.72,0.82,Baseline,0
P001,baseline,40.89,0.86,Baseline,0
P001,baseline,41.06,0.74,Baseline,0
P001,baseline,41.21,0.81,Baseline,0
P001,baseline,41.37,0.84,Baseline,0
P001,baseline,41.54,0.86,Baseline,0
P001,baseline,41.71,0.92,Baseline,0
P001,baseline,41.87,0.88,Baseline,0
P001,baseline,42.03,0.87,Baseline,0
P001,baseline,42.19,0.88,Baseline,0
P001,baseline,42.35,0.88,Baseline,0
P001,baseline,42.5,0.92,Baseline,0
P001,baseline,42.66,0.87,Baseline,0
P001,baseline,42.82,0.8,Baseline,0
P001,baseline,42.99,0.78,Baseline,0
P001,baseline,43.14,0.8,Baseline,0
P001,baseline,43.29,0.79,Baseline,0
P001,baseline,43.45,0.77,Baseline,0
P001,baseline,43.62,0.82,Baseline,0
P001,baseline,43.78,0.79,Baseline,0
P001,baseline,43.95,0.84,Baseline,0
P001,baseline,44.1,0.84,Baseline,0
P001,baseline,44.26,0.84,Baseline,0
P001,baseline,44.42,0.83,Baseline,0
P001,baseline,44.58,0.84,Baseline,0
P001,baseline,44.75,0.83,Baseline,0
P001,baseline,44.92,0.83,Baseline,0
P001,baseline,45.07,0.86,Baseline,0
P001,baseline,45.23,0.82,Baseline,0
P001,baseline,45.39,0.83,Baseline,0
P001,baseline,45.55,0.84,Baseline,0
P001,baseline,45.71,0.88,Baseline,0
P001,baseline,45.87,0.85,Baseline,0
P001,baseline,46.02,0.84,Baseline,0
P001,baseline,46.18,0.83,Baseline,0
P001,baseline,46.35,0.85,Baseline,0
P001,baseline,46.5,0.86,Baseline,0
P001,baseline,46.66,0.84,Baseline,0
P001,baseline,46.82,0.81,Baseline,0
P001,baseline,46.97,0.87,Baseline,0
P001,baseline,47.13,0.86,Baseline,0
P001,baseline,47.29,0.86,Baseline,0
P001,baseline,47.45,0.85,Baseline,0
P001,baseline,47.61,0.83,Baseline,0
P001,baseline,47.76,0.85,Baseline,0
P001,baseline,47.92,0.83,Baseline,0
P001,baseline,48.08,0.85,Baseline,0
P001,baseline,48.25,0.86,Baseline,0
P001,baseline,48.42,0.93,Baseline,0
P001,baseline,48.58,0.86,Baseline,0
P001,baseline,49.07,0.87,Baseline,0
P001,baseline,49.22,0.85,Baseline,0
P001,baseline,49.38,0.96,Baseline,0
P001,baseline,49.54,0.84,Baseline,0
P001,baseline,49.71,0.8,Baseline,0
P001,baseline,49.88,0.84,Baseline,0
P001,baseline,50.04,0.79,Baseline,0
P001,baseline,50.19,0.96,Baseline,0
P001,baseline,50.34,0.91,Baseline,0
P001,baseline,50.5,0.94,Baseline,0
P001,baseline,50.66,0.74,Baseline,0
P001,baseline,50.82,0.89,Baseline,0
P001,baseline,50.98,0.85,Baseline,0
P001,baseline,51.14,0.85,Baseline,0
P001,baseline,51.31,0.79,Baseline,0
P001,baseline,51.46,0.77,Baseline,0
P001,baseline,51.62,0.86,Baseline,0
P001,baseline,51.78,0.87,Baseline,0
P001,baseline,51.93,0.81,Baseline,0
P001,baseline,52.1,0.83,Baseline,0
P001,baseline,52.26,0.92,Baseline,0
P001,baseline,52.42,0.85,Baseline,0
P001,baseline,52.57,0.83,Baseline,0
P001,baseline,52.73,0.83,Baseline,0
P001,baseline,52.89,0.88,Baseline,0
P001,baseline,53.05,0.8,Baseline,0
P001,baseline,53.2,0.88,Baseline,0
P001,baseline,53.35,0.85,Baseline,0
P001,baseline,53.52,0.91,Baseline,0
P001,baseline,53.68,0.85,Baseline,0
P001,baseline,53.85,0.9,Baseline,0
P001,baseline,54.01,0.89,Baseline,0
P001,baseline,54.17,0.89,Baseline,0
P001,baseline,54.33,0.88,Baseline,0
P001,baseline,54.48,0.8,Baseline,0
P001,baseline,54.66,0.79,Baseline,0
P001,baseline,54.82,0.79,Baseline,0
P001,baseline,54.98,0.83,Baseline,0
P001,baseline,55.13,0.76,Baseline,0
P001,baseline,55.3,0.82,Baseline,0
P001,baseline,55.46,0.84,Baseline,0
P001,baseline,55.62,0.84,Baseline,0
P001,baseline,55.77,0.84,Baseline,0
P001,baseline,55.93,0.87,Baseline,0
P001,baseline,56.08,0.84,Baseline,0
P001,baseline,56.24,0.77,Baseline,0
P001,baseline,56.4,0.83,Baseline,0
P001,baseline,56.56,0.83,Baseline,0
P001,baseline,56.71,0.86,Baseline,0
P001,baseline,56.88,0.84,Baseline,0
P001,baseline,57.03,0.83,Baseline,0
P001,baseline,57.19,0.84,Baseline,0
P001,baseline,57.34,0.87,Baseline,0
P001,baseline,57.51,0.84,Baseline,0
P001,baseline,57.67,0.83,Baseline,0
P001,baseline,57.83,0.81,Baseline,0
P001,baseline,58.0,0.87,Baseline,0
P001,baseline,58.15,0.86,Baseline,0
P001,baseline,58.31,0.86,Baseline,0
P001,baseline,58.48,0.86,Baseline,0
P001,baseline,58.64,0.84,Baseline,0
P001,baseline,58.82,0.86,Baseline,0
P001,baseline,58.99,0.79,Baseline,0
P001,baseline,59.16,0.88,Baseline,0
P001,baseline,59.33,0.81,Baseline,0
P001,baseline,59.49,0.82,Baseline,0
P001,baseline,59.65,0.83,Baseline,0
P001,baseline,59.81,0.84,Baseline,0
P001,baseline,59.97,0.83,Baseline,0
P001,baseline,60.13,0.8,Baseline,0
P001,baseline,60.29,0.86,Baseline,0
P001,baseline,60.46,0.84,Baseline,0
