participant_id,mode,timestamp,attention_score,action,low_streak
Anmol,adaptive,33.58,0.7,Continue,0
Anmol,adaptive,33.74,0.74,Continue,0
Anmol,adaptive,33.9,0.75,Continue,0
Anmol,adaptive,34.05,0.73,Continue,0
Anmol,adaptive,34.22,0.77,Continue,0
Anmol,adaptive,34.37,0.57,Slow Down,0
Anmol,adaptive,34.52,0.64,Continue,0
Anmol,adaptive,34.69,0.63,Slow Down,0
Anmol,adaptive,34.85,0.57,Slow Down,0
Anmol,adaptive,35.02,0.61,Slow Down,0
Anmol,adaptive,35.18,0.7,Continue,0
Anmol,adaptive,35.35,0.7,Continue,0
Anmol,adaptive,35.51,0.68,Continue,0
Anmol,adaptive,35.66,0.71,Continue,0
Anmol,adaptive,35.82,0.66,Continue,0
Anmol,adaptive,35.98,0.8,Continue,0
Anmol,adaptive,36.14,0.72,Continue,0
Anmol,adaptive,36.32,0.65,Slow Down,0
Anmol,adaptive,36.48,0.69,Continue,0
Anmol,adaptive,36.65,0.68,Continue,0
Anmol,adaptive,36.8,0.72,Continue,0
Anmol,adaptive,36.97,0.79,Continue,0
Anmol,adaptive,37.12,0.79,Continue,0
Anmol,adaptive,37.28,0.81,Continue,0
Anmol,adaptive,37.44,0.8,Continue,0
Anmol,adaptive,37.6,0.78,Continue,0
Anmol,adaptive,37.75,0.84,Continue,0
Anmol,adaptive,37.91,0.84,Continue,0
Anmol,adaptive,38.07,0.86,Continue,0
Anmol,adaptive,38.23,0.86,Continue,0
Anmol,adaptive,38.38,0.83,Continue,0
Anmol,adaptive,38.54,0.81,Continue,0
Anmol,adaptive,38.71,0.84,Continue,0
Anmol,adaptive,38.86,0.76,Continue,0
Anmol,adaptive,39.02,0.8,Continue,0
Anmol,adaptive,39.19,0.86,Continue,0
Anmol,adaptive,39.34,0.78,Continue,0
Anmol,adaptive,39.5,0.82,Continue,0
Anmol,adaptive,39.66,0.81,Continue,0
Anmol,adaptive,39.83,0.81,Continue,0
Anmol,adaptive,39.99,0.74,Continue,0
Anmol,adaptive,40.15,0.78,Continue,0
Anmol,adaptive,40.3,0.81,Continue,0
Anmol,adaptive,40.46,0.82,Continue,0
Anmol,adaptive,40.62,0.9,Continue,0
Anmol,adaptive,40.77,0.87,Continue,0
Anmol,adaptive,40.93,0.87,Continue,0
Anmol,adaptive,41.08,0.86,Continue,0
Anmol,adaptive,41.24,0.85,Continue,0
Anmol,adaptive,41.42,0.84,Continue,0
Anmol,adaptive,41.58,0.87,Continue,0
Anmol,adaptive,41.74,0.88,Continue,0
Anmol,adaptive,41.89,0.86,Continue,0
Anmol,adaptive,42.04,0.88,Continue,0
Anmol,adaptive,42.21,0.8,Continue,0
Anmol,adaptive,42.38,0.82,Continue,0
Anmol,adaptive,42.55,0.83,Continue,0
Anmol,adaptive,42.71,0.83,Continue,0
Anmol,adaptive,42.87,0.79,Continue,0
Anmol,adaptive,43.03,0.87,Continue,0
Anmol,adaptive,43.18,0.84,Continue,0
Anmol,adaptive,43.34,0.84,Continue,0
